"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559165078433,4655559165217954
1,1,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048616.000000,4655559165078433,4655559165217954
1,1,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559165078433,4655559165217954
1,1,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048614.000000,4655559165078433,4655559165217954
1,1,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559165078433,4655559165217954
1,1,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559165078433,4655559165217954
2,2,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559169466001,4655559169601682
2,2,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559169466001,4655559169601682
2,2,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559169466001,4655559169601682
2,2,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559169466001,4655559169601682
2,2,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559169466001,4655559169601682
2,2,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559169466001,4655559169601682
3,3,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559170027127,4655559170161048
3,3,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559170027127,4655559170161048
3,3,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559170027127,4655559170161048
3,3,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559170027127,4655559170161048
3,3,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559170027127,4655559170161048
3,3,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559170027127,4655559170161048
4,4,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559170581853,4655559170716895
4,4,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559170581853,4655559170716895
4,4,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559170581853,4655559170716895
4,4,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559170581853,4655559170716895
4,4,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559170581853,4655559170716895
4,4,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559170581853,4655559170716895
5,5,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559171132579,4655559171268101
5,5,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4655559171132579,4655559171268101
5,5,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559171132579,4655559171268101
5,5,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4655559171132579,4655559171268101
5,5,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559171132579,4655559171268101
5,5,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559171132579,4655559171268101
6,6,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559171680905,4655559171816107
6,6,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559171680905,4655559171816107
6,6,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559171680905,4655559171816107
6,6,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559171680905,4655559171816107
6,6,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559171680905,4655559171816107
6,6,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559171680905,4655559171816107
7,7,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559172230991,4655559172366513
7,7,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4655559172230991,4655559172366513
7,7,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559172230991,4655559172366513
7,7,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4655559172230991,4655559172366513
7,7,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559172230991,4655559172366513
7,7,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559172230991,4655559172366513
8,8,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559172780918,4655559172915639
8,8,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559172780918,4655559172915639
8,8,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559172780918,4655559172915639
8,8,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559172780918,4655559172915639
8,8,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559172780918,4655559172915639
8,8,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559172780918,4655559172915639
9,9,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559173327964,4655559173463165
9,9,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559173327964,4655559173463165
9,9,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559173327964,4655559173463165
9,9,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559173327964,4655559173463165
9,9,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559173327964,4655559173463165
9,9,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559173327964,4655559173463165
10,10,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559173874210,4655559174008931
10,10,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4655559173874210,4655559174008931
10,10,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559173874210,4655559174008931
10,10,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4655559173874210,4655559174008931
10,10,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559173874210,4655559174008931
10,10,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559173874210,4655559174008931
11,11,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559174428936,4655559174563177
11,11,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4655559174428936,4655559174563177
11,11,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4655559174428936,4655559174563177
11,11,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4655559174428936,4655559174563177
11,11,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4655559174428936,4655559174563177
11,11,4,1,121187,121187,16777216,21,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4655559174428936,4655559174563177
12,12,4,1,121187,121187,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559175135984,4655559175296466
12,12,4,1,121187,121187,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1048842.000000,4655559175135984,4655559175296466
12,12,4,1,121187,121187,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",1113167.000000,4655559175135984,4655559175296466
12,12,4,1,121187,121187,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048710.000000,4655559175135984,4655559175296466
12,12,4,1,121187,121187,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",2097152.000000,4655559175135984,4655559175296466
12,12,4,1,121187,121187,16777216,16,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559175135984,4655559175296466
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1049354.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",2167900.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048966.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",4141492.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559175776791,4655559175927833
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1050378.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",8018908.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1049478.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",8019250.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559176399038,4655559176665601
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1052426.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",15982870.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1050502.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",15984236.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559177137606,4655559177630412
